playerId,player,position,team,conference,ATT,AVG,CAR,COMPLETIONS,FGA,FGM,FUM,INT,In 20,LONG,LOST,NO,PCT,PD,PTS,QB HUR,REC,SACKS,SOLO,TB,TD,TFL,TOT,XPA,XPM,YDS,YPA,YPC,YPP,YPR
4362750,Jarvis Ware,DB,UNLV,Mountain West,,,,,,,,,,,,,,4,,0,,1,18,,0,1,28,,,,,,,
4362756,Chris Mills,CB,Texas State,Sun Belt,,0.0,,,,,,1,,,,,,5,,0,,0.5,23,,00,3.0,30,,,0,,,,
4362791,Brendon Harris,S,Middle Tennessee,Conference USA,,,,,,,,,,,,,,1,,0,,0,9,,0,1,18,,,,,,,
4362889,Matt Harmon,LB,Kent State,Mid-American,,,,,,,,,,,,,,1,,5,,2,24,,0,6.5,56,,,,,,,
4362909,Cameron Gardner,WR,Mississippi Valley State,SWAC,,,1,,,,,,,246,,,,,,,14,,,,00,,,,,1616,,6.0,,11.5
4362915,Gerry Bohannon,QB,BYU,Big 12,3,,4,3,,,,0,,7,,,1.000,,,,,,,,00,,,,,2712,9.0,3.0,,
4363040,Dennis Briggs Jr.,DL,Illinois,Big Ten,,,,,,,,,,,,,,0,,4,,2.5,18,,0,3.5,41,,,,,,,
4363059,Jay Gibson,TE,Chattanooga,Southern,,,,,,,,,,26,,,,0,,0,13,0,1,,01,0,1,,,102,,,,7.8
4363162,Kameron Butler,DE,Virginia,ACC,,,,,,,,,,,,,,2,,8,,2.5,18,,0,2.5,43,,,,,,,
4363411,Xavier Lanier,DB,Samford,Southern,,0.0,,,,,,1,,,,,,0,,0,,0,2,,00,0,3,,,0,,,,
4363418,Jalen Rayam,LB,UTEP,Conference USA,,,,,,,,,,,,,,0,,0,,0,1,,0,0,1,,,,,,,
4363440,Wilson Beaverstock,PK,Samford,Southern,,,,,8,4,,,,41,,,0.500,0,22,0,,0,0,,0,0,1,13,10,,,,,
4363529,Isaiah Watson,DB,Maine,CAA,,,,,,,,,,,,,,0,,0,,0,1,,0,0,1,,,,,,,
4364533,Darrien Sampson,DB,Eastern Washington,Big Sky,,,,,,,,,,,,,,0,,0,,0,1,,0,0,2,,,,,,,
4364635,Cole Grossman,TE,Montana,Big Sky,,,,,,,,,,10,,,,,,,4,,,,0,,,,,24,,,,6.0
